"concat";"geo";"priority";"id"
"1-? ????????, ????????? ?????, 1?";"55.289629, 61.52132";"1";"112"
"1-? ????????, ????????? ?????, 21/1";"55.288117, 61.519963";"1";"113"
"1-? ????????, ????????? ?????, 25?";"55.287788, 61.518832";"1";"114"
"1-? ????????, ????????? ?????, 3";"55.289501, 61.521266";"1";"115"
"1-? ????????, ????????? ?????, 3?";"55.289311, 61.521194";"1";"116"
"1-? ????????, ????????? ?????, 4";"55.289983, 61.520781";"1";"117"
"1-? ????????, ????????? ?????, 5";"55.289075, 61.521095";"1";"118"
"1-? ????????, ????????? ?????, 6";"55.289762, 61.520754";"1";"119"
"1-? ????????, ????????? ?????, 7";"55.288911, 61.521095";"1";"120"
"1-? ????????, ????????? ?????, 8";"55.289567, 61.520718";"1";"121"
"1-? ????????, ????????? ?????, 9?";"55.28846, 61.521392";"1";"122"
"1-? ?????????? ????????, 1";"55.119595, 61.374697";"1";"123"
"1-? ?????????? ????????, 10";"55.119167, 61.373439";"1";"124"
"1-? ?????????? ????????, 11";"55.118894, 61.373619";"1";"125"
"1-? ?????????? ????????, 12";"55.119121, 61.373242";"1";"126"
"1-? ?????????? ????????, 13";"55.118709, 61.373331";"1";"127"
"1-? ?????????? ????????, 14";"55.118884, 61.373017";"1";"128"
"1-? ?????????? ????????, 2";"55.119739, 61.37432";"1";"129"
"1-? ?????????? ????????, 3";"55.119445, 61.374418";"1";"130"
"1-? ?????????? ????????, 4";"55.119589, 61.374095";"1";"131"
"1-? ?????????? ????????, 5";"55.119306, 61.374239";"1";"132"
"1-? ?????????? ????????, 6";"55.119445, 61.373897";"1";"133"
"1-? ?????????? ????????, 7";"55.119157, 61.374023";"1";"134"
"1-? ?????????? ????????, 8";"55.119301, 61.373682";"1";"135"
"1-? ?????????? ????????, 9";"55.119033, 61.373808";"1";"136"
"1-? ????????? ????????, 1";"55.122668, 61.456497";"1";"137"
"1-? ????????? ????????, 3";"55.122462, 61.45683";"1";"138"
"1-? ????????? ????????, 5";"55.122256, 61.45718";"1";"139"
"1-? ????????? ????????, 7";"55.122102, 61.457432";"1";"140"
"1-? ????????? ????????, 9";"55.121947, 61.457881";"1";"141"
"1-? ?????????? ????????, 1";"55.195873, 61.471517";"1";"142"
"1-? ?????????? ????????, 1?";"55.195611, 61.471886";"1";"143"
"1-? ?????????? ????????, 2";"55.196053, 61.472757";"1";"144"
"1-? ?????????? ????????, 4";"55.19612, 61.47202";"1";"145"
"1-? ?????????? ????????, 6";"55.196238, 61.471571";"1";"146"
"1-? ?????????? ????????, 8";"55.196351, 61.471086";"1";"147"
"1-? ??????? ????????, 1";"55.189043, 61.477725";"1";"148"
"1-? ??????? ????????, 11";"55.187959, 61.478398";"1";"149"
"1-? ??????? ????????, 13";"55.187414, 61.478821";"1";"150"
"1-? ??????? ????????, 15";"55.187193, 61.478937";"1";"151"
"1-? ??????? ????????, 3";"55.188874, 61.477841";"1";"152"
"1-? ??????? ????????, 5";"55.188607, 61.477958";"1";"153"
"1-? ??????? ????????, 7";"55.188391, 61.478129";"1";"154"
"1-? ??????? ????????, 9";"55.18817, 61.478264";"1";"155"
"1-? ???????? ????????, 1";"55.122153, 61.429871";"1";"156"
"1-? ???????? ????????, 10";"55.122375, 61.428452";"1";"157"
"1-? ???????? ????????, 11";"55.122081, 61.428174";"1";"158"
"1-? ???????? ????????, 12";"55.122344, 61.428129";"1";"159"
"1-? ???????? ????????, 13";"55.122071, 61.427868";"1";"160"
"1-? ???????? ????????, 14";"55.122323, 61.427814";"1";"161"
"1-? ???????? ????????, 15";"55.122056, 61.427563";"1";"162"
"1-? ???????? ????????, 16";"55.122328, 61.4275";"1";"163"
"1-? ???????? ????????, 17";"55.122045, 61.427293";"1";"164"
"1-? ???????? ????????, 18";"55.122297, 61.427221";"1";"165"
"1-? ???????? ????????, 19";"55.122035, 61.426799";"1";"166"
"1-? ???????? ????????, 2";"55.122426, 61.429871";"1";"167"
"1-? ???????? ????????, 20";"55.122277, 61.426727";"1";"168"
"1-? ???????? ????????, 21";"55.122019, 61.42617";"1";"169"
"1-? ???????? ????????, 23";"55.121994, 61.425874";"1";"170"
"1-? ???????? ????????, 25";"55.121989, 61.425667";"1";"171"
"1-? ???????? ????????, 27";"55.121983, 61.425371";"1";"172"
"1-? ???????? ????????, 29";"55.121963, 61.424895";"1";"173"
"1-? ???????? ????????, 3";"55.122128, 61.429413";"1";"174"
"1-? ???????? ????????, 30";"55.122158, 61.424886";"1";"175"
"1-? ???????? ????????, 31";"55.121917, 61.424544";"1";"176"
"1-? ???????? ????????, 32";"55.122153, 61.424544";"1";"177"
"1-? ???????? ????????, 33";"55.121922, 61.424176";"1";"178"
"1-? ???????? ????????, 34";"55.122133, 61.42423";"1";"179"
