===База данных gkh-inform74

== Структура таблицы streets8

|------
|Столбец|Тип|Null|По умолчанию
|------
|**concat**|varchar(50)|Да|NULL
|geo|varchar(25)|Да|NULL
|priority|tinyint(1)|Нет|1
|//**id**//|int(11)|Нет|
== Дамп данных таблицы streets8

|Комсомольский проспект, 82А|55.195493, 61.306658|1|11774
|Комсомольский проспект, 82Б|55.196649, 61.307629|1|11775
|Комсомольский проспект, 83|55.194008, 61.312183|1|11776
|Комсомольский проспект, 84|55.194959, 61.305257|1|11777
|Комсомольский проспект, 84А|55.196264, 61.30603|1|11778
|Комсомольский проспект, 85|55.194018, 61.308527|1|11779
|Комсомольский проспект, 85А|55.194018, 61.306748|1|11780
|Комсомольский проспект, 86|55.195066, 61.302886|1|11781
|Комсомольский проспект, 86А|55.195822, 61.302562|1|11782
|Комсомольский проспект, 86Б|55.196254, 61.302508|1|11783
|Комсомольский проспект, 86В|55.194635, 61.30258|1|11784
|Комсомольский проспект, 87|55.192893, 61.309892|1|11785
|Комсомольский проспект, 88|55.19447, 61.301511|1|11786
|Комсомольский проспект, 88А|55.195776, 61.30134|1|11787
|Комсомольский проспект, 89|55.192461, 61.308958|1|11788
|Комсомольский проспект, 89А|55.192769, 61.308392|1|11789
|Комсомольский проспект, 9|55.191521, 61.384677|1|11790
|Комсомольский проспект, 90|55.193448, 61.29896|1|11791
|Комсомольский проспект, 91|55.193299, 61.308078|1|11792
|Комсомольский проспект, 91А|55.193242, 61.309075|1|11793
|Комсомольский проспект, 91Б|55.192867, 61.307539|1|11794
|Комсомольский проспект, 92|55.192811, 61.294801|1|11795
|Комсомольский проспект, 92/3|55.192713, 61.295474|1|11796
|Комсомольский проспект, 93|55.194013, 61.305032|1|11797
|Комсомольский проспект, 93А|55.193437, 61.305032|1|11798
|Комсомольский проспект, 94|55.191377, 61.294217|1|11799
|Комсомольский проспект, 99|55.192168, 61.299759|1|11800
|Комсомольский проспект, 99/2|55.19133, 61.299095|1|11801
|Комсомольский проспект, 99Г|55.191145, 61.299786|1|11802
|Комсомольский проспект, 99Д|55.190637, 61.300523|1|11803
|Комсомольский проспект, 9А|55.191505, 61.384012|1|11804
|Комсомольский проспект, 9Б|55.191531, 61.385504|1|11805
|Конармейский переулок, 3|55.184402, 61.471724|1|11806
|Конармейский переулок, 4|55.184582, 61.471239|1|11807
|Конармейский переулок, 5|55.184932, 61.472532|1|11808
|Конармейский переулок, 6|55.185014, 61.472236|1|11809
|Конармейский переулок, 7|55.185158, 61.47176|1|11810
|Конармейский переулок, 8|55.18523, 61.471391|1|11811
|Конвейерный переулок, 10|55.181483, 61.460468|1|11812
|Конвейерный переулок, 11|55.181303, 61.460252|1|11813
|Конвейерный переулок, 12|55.181555, 61.460172|1|11814
|Конвейерный переулок, 13|55.181369, 61.459983|1|11815
|Конвейерный переулок, 14|55.181683, 61.459713|1|11816
|Конвейерный переулок, 15|55.181498, 61.459588|1|11817
|Конвейерный переулок, 16|55.181781, 61.459255|1|11818
|Конвейерный переулок, 17|55.181596, 61.459165|1|11819
|Конвейерный переулок, 18|55.18192, 61.45868|1|11820
|Конвейерный переулок, 19|55.181714, 61.458555|1|11821
|Конвейерный переулок, 20|55.182002, 61.45842|1|11822
|Конвейерный переулок, 21|55.181806, 61.458312|1|11823
|Конвейерный переулок, 22|55.182079, 61.458114|1|11824
|Конвейерный переулок, 23|55.181842, 61.458114|1|11825
|Конвейерный переулок, 24|55.182187, 61.457719|1|11826
|Конвейерный переулок, 25|55.182002, 61.457548|1|11827
|Конвейерный переулок, 8|55.181411, 61.460746|1|11828
|Конвейерный переулок, 9|55.181148, 61.460854|1|11829
|Кондукторский переулок, 10|55.123358, 61.424643|1|11830
|Кондукторский переулок, 12|55.123193, 61.42476|1|11831
|Кондукторский переулок, 14|55.122931, 61.424823|1|11832
|Кондукторский переулок, 16|55.122612, 61.424814|1|11833
|Кондукторский переулок, 19|55.121968, 61.425371|1|11834
|Кондукторский переулок, 2|55.12429, 61.424616|1|11835
|Кондукторский переулок, 20|55.121973, 61.424904|1|11836
|Кондукторский переулок, 21|55.121695, 61.425398|1|11837
|Кондукторский переулок, 22|55.121659, 61.42494|1|11838
|Кондукторский переулок, 23|55.121515, 61.425416|1|11839
|Кондукторский переулок, 24|55.121505, 61.42494|1|11840
|Кондукторский переулок, 25|55.121361, 61.425407|1|11841
|Кондукторский переулок, 26|55.121361, 61.424967|1|11842
|Кондукторский переулок, 27|55.121206, 61.425461|1|11843
|Кондукторский переулок, 28|55.121191, 61.425002|1|11844
|Кондукторский переулок, 29|55.121093, 61.425479|1|11845
|Кондукторский переулок, 30|55.121057, 61.425002|1|11846
|Кондукторский переулок, 31|55.120892, 61.42547|1|11847
|Кондукторский переулок, 32|55.120882, 61.42502|1|11848
|Кондукторский переулок, 33|55.120748, 61.425515|1|11849
|Кондукторский переулок, 34|55.120748, 61.42502|1|11850
|Кондукторский переулок, 35|55.120609, 61.425506|1|11851
|Кондукторский переулок, 36|55.120599, 61.425074|1|11852
|Кондукторский переулок, 37|55.12046, 61.42555|1|11853
|Кондукторский переулок, 38|55.120454, 61.42511|1|11854
|Кондукторский переулок, 39|55.12029, 61.425784|1|11855
|Кондукторский переулок, 4|55.124043, 61.424652|1|11856
|Кондукторский переулок, 40|55.120171, 61.425299|1|11857
|Кондукторский переулок, 41|55.120192, 61.426|1|11858
|Кондукторский переулок, 42|55.119986, 61.425694|1|11859
|Кондукторский переулок, 43|55.119996, 61.42635|1|11860
|Кондукторский переулок, 45|55.119816, 61.426718|1|11861
|Кондукторский переулок, 47|55.119826, 61.427042|1|11862
|Кондукторский переулок, 47А|55.119847, 61.427679|1|11863
|Кондукторский переулок, 49|55.119862, 61.427994|1|11864
|Кондукторский переулок, 51|55.119867, 61.428263|1|11865
|Кондукторский переулок, 52|55.119574, 61.426485|1|11866
|Кондукторский переулок, 54|55.119559, 61.426844|1|11867
|Кондукторский переулок, 56|55.119584, 61.427149|1|11868
|Кондукторский переулок, 57|55.119883, 61.42856|1|11869
|Кондукторский переулок, 58|55.119595, 61.427464|1|11870
|Кондукторский переулок, 59|55.120053, 61.429117|1|11871
|Кондукторский переулок, 6|55.123775, 61.424661|1|11872
|Кондукторский переулок, 60|55.11961, 61.427742|1|11873
|Кондукторский переулок, 61|55.11994, 61.429377|1|11874
|Кондукторский переулок, 62|55.119626, 61.42803|1|11875
|Кондукторский переулок, 63|55.119934, 61.429692|1|11876
|Кондукторский переулок, 64|55.119641, 61.428704|1|11877
|Кондукторский переулок, 64А|55.119523, 61.428272|1|11878
|Кондукторский переулок, 65|55.119955, 61.430123|1|11879
|Кондукторский переулок, 68|55.119692, 61.429566|1|11880
|Кондукторский переулок, 70|55.119723, 61.430204|1|11881
|Кондукторский переулок, 8|55.123564, 61.424697|1|11882
|Конноспортивная улица, 21|55.261439, 61.358842|1|11883
|Конноспортивная улица, 23|55.262578, 61.36106|1|11884
|Конноспортивная улица, 25|55.262044, 61.36053|1|11885
|Конноспортивная улица, 27|55.26288, 61.360512|1|11886
|Контейнерная улица, 12|55.100283, 61.383626|1|11887
|Контейнерная улица, 2|55.101051, 61.386689|1|11888
|Контейнерная улица, 3|55.099207, 61.384569|1|11889
|Контейнерная улица, 4|55.100649, 61.385234|1|11890
|Контейнерная улица, 4А|55.100819, 61.385872|1|11891
|Контейнерная улица, 6|55.100654, 61.384524|1|11892
|Контейнерная улица, 8|55.100098, 61.382889|1|11893
|Копейская улица, 1|55.133828, 61.429701|1|11894
|Копейский переулок, 10|55.167308, 61.48218|1|11895
|Копейское шоссе, 1|55.120624, 61.511411|1|11896
|Копейское шоссе, 1/2|55.121129, 61.533591|1|11897
|Копейское шоссе, 10|55.122637, 61.50895|1|11898
|Копейское шоссе, 10А|55.122992, 61.508842|1|11899
|Копейское шоссе, 11|55.122442, 61.502365|1|11900
|Копейское шоссе, 11П|55.116577, 61.535495|1|11901
|Копейское шоссе, 11П/1|55.117, 61.53572|1|11902
|Копейское шоссе, 12|55.122653, 61.508097|1|11903
|Копейское шоссе, 12А|55.122977, 61.508258|1|11904
|Копейское шоссе, 13|55.122751, 61.501207|1|11905
|Копейское шоссе, 13А|55.122246, 61.501674|1|11906
|Копейское шоссе, 13П|55.115846, 61.537355|1|11907
|Копейское шоссе, 15|55.123008, 61.499895|1|11908
|Копейское шоссе, 16|55.12273, 61.506641|1|11909
|Копейское шоссе, 16А|55.123152, 61.506623|1|11910
|Копейское шоссе, 17|55.123018, 61.496544|1|11911
|Копейское шоссе, 17А|55.122025, 61.495619|1|11912
|Копейское шоссе, 18|55.122843, 61.50568|1|11913
|Копейское шоссе, 18А|55.123229, 61.505977|1|11914
|Копейское шоссе, 19|55.123857, 61.494182|1|11915
|Копейское шоссе, 19/2|55.124959, 61.492152|1|11916
|Копейское шоссе, 19А|55.12411, 61.494622|1|11917
|Копейское шоссе, 1А|55.120032, 61.511771|1|11918
|Копейское шоссе, 1Ак1|55.120387, 61.51725|1|11919
|Копейское шоссе, 1Б|55.120166, 61.510675|1|11920
|Копейское шоссе, 1В|55.120753, 61.510073|1|11921
|Копейское шоссе, 1Г|55.121088, 61.51328|1|11922
|Копейское шоссе, 1Г/1|55.12117, 61.513711|1|11923
|Копейское шоссе, 1Ж|55.121309, 61.511447|1|11924
|Копейское шоссе, 1К|55.11893, 61.540373|1|11925
|Копейское шоссе, 1П|55.118009, 61.542718|1|11926
|Копейское шоссе, 1П/1|55.11891, 61.541352|1|11927
|Копейское шоссе, 1П/2|55.117319, 61.541604|1|11928
|Копейское шоссе, 2|55.122612, 61.512328|1|11929
|Копейское шоссе, 20|55.122982, 61.504872|1|11930
|Копейское шоссе, 21П|55.116346, 61.529611|1|11931
|Копейское шоссе, 22|55.123131, 61.504135|1|11932
|Копейское шоссе, 23|55.123739, 61.492044|1|11933
|Копейское шоссе, 23к1|55.123317, 61.491702|1|11934
|Копейское шоссе, 23с1|55.12309, 61.492834|1|11935
|Копейское шоссе, 23с2|55.122586, 61.492601|1|11936
|Копейское шоссе, 23с4|55.122323, 61.49376|1|11937
|Копейское шоссе, 24|55.123286, 61.503372|1|11938
|Копейское шоссе, 24А|55.123533, 61.503461|1|11939
|Копейское шоссе, 25|55.123785, 61.49111|1|11940
|Копейское шоссе, 25/1|55.123636, 61.490535|1|11941
|Копейское шоссе, 26|55.123445, 61.502617|1|11942
|Копейское шоссе, 27|55.128351, 61.47706|1|11943
|Копейское шоссе, 27Ж|55.130441, 61.473458|1|11944
|Копейское шоссе, 27И|55.130806, 61.472982|1|11945
|Копейское шоссе, 27К|55.131038, 61.472487|1|11946
|Копейское шоссе, 28|55.123605, 61.501835|1|11947
|Копейское шоссе, 29|55.131295, 61.471302|1|11948
|Копейское шоссе, 29А|55.131913, 61.470574|1|11949
|Копейское шоссе, 29В|55.132412, 61.46937|1|11950
|Копейское шоссе, 2А|55.122272, 61.513603|1|11951
|Копейское шоссе, 2А/1|55.121875, 61.514726|1|11952
|Копейское шоссе, 2Б|55.122092, 61.512175|1|11953
|Копейское шоссе, 2Г|55.12185, 61.515265|1|11954
|Копейское шоссе, 2И|55.120614, 61.535855|1|11955
|Копейское шоссе, 2к1|55.122514, 61.525335|1|11956
|Копейское шоссе, 2Н|55.120387, 61.543391|1|11957
|Копейское шоссе, 3|55.121129, 61.508959|1|11958
|Копейское шоссе, 30|55.123775, 61.501108|1|11959
|Копейское шоссе, 31|55.129463, 61.473772|1|11960
|Копейское шоссе, 31/2|55.129509, 61.472838|1|11961
|Копейское шоссе, 31/3|55.129777, 61.473233|1|11962
|Копейское шоссе, 31/5|55.130184, 61.473826|1|11963
|Копейское шоссе, 31/6|55.129514, 61.473197|1|11964
|Копейское шоссе, 31/7|55.130209, 61.474185|1|11965
|Копейское шоссе, 31/8|55.129144, 61.473053|1|11966
|Копейское шоссе, 31/9|55.13005, 61.47441|1|11967
|Копейское шоссе, 31к1|55.129273, 61.472505|1|11968
|Копейское шоссе, 32|55.123976, 61.500389|1|11969
|Копейское шоссе, 32/2|55.125726, 61.496131|1|11970
|Копейское шоссе, 32А|55.124336, 61.499374|1|11971
|Копейское шоссе, 32к1|55.126009, 61.494838|1|11972
|Копейское шоссе, 32к3|55.125669, 61.495368|1|11973
|Копейское шоссе, 33|55.134667, 61.464672|1|11974
|Копейское шоссе, 33А|55.133961, 61.464034|1|11975
|Копейское шоссе, 34/2|55.126462, 61.492843|1|11976
|Копейское шоссе, 34А|55.126205, 61.49323|1|11977
|Копейское шоссе, 34А/1|55.125525, 61.493822|1|11978
|Копейское шоссе, 34к1|55.125829, 61.493948|1|11979
|Копейское шоссе, 35|55.135984, 61.462085|1|11980
|Копейское шоссе, 35А|55.138068, 61.457692|1|11981
|Копейское шоссе, 35Б|55.137749, 61.458366|1|11982
|Копейское шоссе, 35Д|55.136679, 61.460962|1|11983
|Копейское шоссе, 36|55.128341, 61.494263|1|11984
|Копейское шоссе, 36/2|55.126447, 61.491882|1|11985
|Копейское шоссе, 36/6|55.126678, 61.494379|1|11986
|Копейское шоссе, 36/7|55.12655, 61.494667|1|11987
|Копейское шоссе, 36А|55.126771, 61.497559|1|11988
|Копейское шоссе, 36А/1|55.127255, 61.498431|1|11989
|Копейское шоссе, 36А/2|55.128773, 61.498027|1|11990
|Копейское шоссе, 36Б|55.130086, 61.489762|1|11991
|Копейское шоссе, 36Б/1|55.128279, 61.491343|1|11992
|Копейское шоссе, 36Бс2|55.129448, 61.490202|1|11993
|Копейское шоссе, 36В|55.12708, 61.49826|1|11994
|Копейское шоссе, 36Г|55.130945, 61.489232|1|11995
|Копейское шоссе, 36Гс3|55.13129, 61.489897|1|11996
|Копейское шоссе, 36Е|55.132953, 61.49234|1|11997
|Копейское шоссе, 36с12|55.127795, 61.494999|1|11998
|Копейское шоссе, 37|55.139509, 61.454836|1|11999
|Копейское шоссе, 37/1|55.139499, 61.455249|1|12000
|Копейское шоссе, 37Б|55.138794, 61.456542|1|12001
|Копейское шоссе, 37Б/1|55.138547, 61.456983|1|12002
|Копейское шоссе, 37Б/2|55.139015, 61.456174|1|12003
|Копейское шоссе, 38|55.128732, 61.482162|1|12004
|Копейское шоссе, 38Г|55.129283, 61.478497|1|12005
|Копейское шоссе, 38Е|55.129885, 61.477249|1|12006
|Копейское шоссе, 39|55.139983, 61.453263|1|12007
|Копейское шоссе, 39А|55.140883, 61.452635|1|12008
|Копейское шоссе, 39Б|55.140327, 61.452105|1|12009
|Копейское шоссе, 39В|55.140358, 61.454108|1|12010
|Копейское шоссе, 39Г|55.14076, 61.453578|1|12011
|Копейское шоссе, 3А|55.120506, 61.509076|1|12012
|Копейское шоссе, 3Б|55.120727, 61.508115|1|12013
|Копейское шоссе, 4|55.122622, 61.511636|1|12014
|Копейское шоссе, 40|55.133684, 61.470044|1|12015
|Копейское шоссе, 40/1|55.134641, 61.468481|1|12016
|Копейское шоссе, 40А|55.134934, 61.484552|1|12017
|Копейское шоссе, 40Б|55.134121, 61.469622|1|12018
|Копейское шоссе, 40Б/1|55.133092, 61.47132|1|12019
|Копейское шоссе, 40Г|55.13267, 61.471445|1|12020
|Копейское шоссе, 40к1|55.132459, 61.478982|1|12021
|Копейское шоссе, 40к4|55.131743, 61.477572|1|12022
|Копейское шоссе, 40к5|55.131362, 61.479018|1|12023
|Копейское шоссе, 41|55.14131, 61.452212|1|12024
|Копейское шоссе, 42|55.134311, 61.468409|1|12025
|Копейское шоссе, 42А|55.134831, 61.46893|1|12026
|Копейское шоссе, 43|55.141537, 61.451557|1|12027
|Копейское шоссе, 43А|55.140924, 61.449904|1|12028
|Копейское шоссе, 43Б|55.141372, 61.450362|1|12029
|Копейское шоссе, 44|55.134512, 61.467753|1|12030
|Копейское шоссе, 46|55.134795, 61.467151|1|12031
|Копейское шоссе, 47|55.142787, 61.449742|1|12032
|Копейское шоссе, 47А|55.142149, 61.448323|1|12033
|Копейское шоссе, 47Б|55.141362, 61.448727|1|12034
|Копейское шоссе, 48|55.139818, 61.467286|1|12035
|Копейское шоссе, 48/1|55.137229, 61.46884|1|12036
|Копейское шоссе, 48/2|55.135032, 61.466621|1|12037
|Копейское шоссе, 48/3|55.139103, 61.465642|1|12038
|Копейское шоссе, 48/5|55.14042, 61.465705|1|12039
|Копейское шоссе, 48А|55.138717, 61.468876|1|12040
|Копейское шоссе, 48Г|55.136674, 61.46716|1|12041
|Копейское шоссе, 48Д|55.135583, 61.465481|1|12042
|Копейское шоссе, 48к1|55.140353, 61.46761|1|12043
|Копейское шоссе, 48к3|55.138845, 61.470933|1|12044
|Копейское шоссе, 48к4|55.139818, 61.47123|1|12045
|Копейское шоссе, 48М|55.13954, 61.467322|1|12046
|Копейское шоссе, 49|55.144027, 61.447856|1|12047
|Копейское шоссе, 49А|55.143687, 61.448718|1|12048
|Копейское шоссе, 49Б|55.143301, 61.447972|1|12049
|Копейское шоссе, 5|55.12134, 61.507091|1|12050
|Копейское шоссе, 50|55.135963, 61.46487|1|12051
|Копейское шоссе, 50А|55.140621, 61.463756|1|12052
|Копейское шоссе, 50Б|55.136349, 61.463891|1|12053
|Копейское шоссе, 50Гс1|55.137564, 61.464232|1|12054
|Копейское шоссе, 50Д|55.135418, 61.465939|1|12055
|Копейское шоссе, 50И|55.137765, 61.463531|1|12056
|Копейское шоссе, 50к1|55.138362, 61.459866|1|12057
|Копейское шоссе, 50М|55.138912, 61.464762|1|12058
|Копейское шоссе, 52|55.139988, 61.460172|1|12059
|Копейское шоссе, 52к1|55.139077, 61.459821|1|12060
|Копейское шоссе, 53|55.145262, 61.447029|1|12061
|Копейское шоссе, 54|55.141351, 61.455653|1|12062
|Копейское шоссе, 54/2|55.141444, 61.454422|1|12063
|Копейское шоссе, 54А|55.1406, 61.456578|1|12064
|Копейское шоссе, 56|55.140492, 61.457522|1|12065
|Копейское шоссе, 56/1|55.13989, 61.456596|1|12066
|Копейское шоссе, 56А/1|55.142025, 61.459911|1|12067
|Копейское шоссе, 56В|55.139869, 61.457827|1|12068
|Копейское шоссе, 56Д|55.140425, 61.455671|1|12069
|Копейское шоссе, 58Б|55.142586, 61.457315|1|12070
|Копейское шоссе, 58Б/1|55.142442, 61.455437|1|12071
|Копейское шоссе, 59|55.14769, 61.443139|1|12072
|Копейское шоссе, 5А|55.121391, 61.506129|1|12073
|Копейское шоссе, 5К|55.118282, 61.53651|1|12074
|Копейское шоссе, 5П|55.118168, 61.539547|1|12075
|Копейское шоссе, 5П/1|55.117808, 61.537723|1|12076
|Копейское шоссе, 6|55.122061, 61.511654|1|12077
|Копейское шоссе, 60|55.151801, 61.444361|1|12078
|Копейское шоссе, 62/1|55.145349, 61.44985|1|12079
|Копейское шоссе, 64|55.145447, 61.451979|1|12080
|Копейское шоссе, 7|55.121855, 61.505312|1|12081
|Копейское шоссе, 73|55.15105, 61.438522|1|12082
|Копейское шоссе, 7А|55.117468, 61.535594|1|12083
|Копейское шоссе, 7П|55.117751, 61.53616|1|12084
|Копейское шоссе, 8|55.122627, 61.50966|1|12085
|Копейское шоссе, 82|55.148416, 61.446903|1|12086
|Копейское шоссе, 82А|55.147407, 61.447604|1|12087
|Копейское шоссе, 84|55.149311, 61.445852|1|12088
|Копейское шоссе, 88|55.149609, 61.448422|1|12089
|Копейское шоссе, 88/5|55.147855, 61.449742|1|12090
|Копейское шоссе, 88/9|55.147922, 61.451979|1|12091
|Копейское шоссе, 8А|55.122972, 61.509803|1|12092
|Копейское шоссе, 9|55.122272, 61.503551|1|12093
|Копейское шоссе, 90|55.150515, 61.445736|1|12094
|Копейское шоссе, 92|55.151127, 61.445161|1|12095
|Копейское шоссе, 9П|55.117345, 61.530312|1|12096
|Копейское шоссе, 9П/1|55.117376, 61.529135|1|12097
|Копейское шоссе, 9Пк1|55.117345, 61.532288|1|12098
|Копейское шоссе, 9Пк2|55.116701, 61.533905|1|12099
|Копейское шоссе, 9Пс1|55.117746, 61.533923|1|12100
|Корабельная улица, 10|55.105248, 61.361824|1|12101
|Корабельная улица, 10А|55.105557, 61.362668|1|12102
|Корабельная улица, 15|55.102797, 61.359857|1|12103
|Корабельная улица, 15/1|55.10308, 61.357395|1|12104
|Корабельная улица, 15Д/1|55.103775, 61.359057|1|12105
|Корабельная улица, 15к1|55.104723, 61.359282|1|12106
|Корабельная улица, 15к3|55.104852, 61.358024|1|12107
|Корабельная улица, 15к4|55.105686, 61.35921|1|12108
|Корабельная улица, 15к5|55.105449, 61.360288|1|12109
|Корабельная улица, 15к6|55.103492, 61.359821|1|12110
|Корабельная улица, 15к7|55.104558, 61.360899|1|12111
|Корабельная улица, 1А|55.103683, 61.363719|1|12112
|Корабельная улица, 3А|55.103817, 61.363459|1|12113
|Корабельная улица, 4А|55.106083, 61.360665|1|12114
|Корабельная улица, 5А|55.103987, 61.363145|1|12115
|Корабельная улица, 6|55.104527, 61.364501|1|12116
|Корабельная улица, 6А|55.104914, 61.365399|1|12117
|Корабельная улица, 7А|55.104141, 61.362848|1|12118
|Корабельная улица, 8|55.104548, 61.363198|1|12119
|Корабельная улица, 8А|55.105444, 61.365238|1|12120
|Корабельная улица, 9А|55.104316, 61.362327|1|12121
|Коралловая улица, 1|55.234307, 61.31159|1|12122
|Коралловая улица, 10|55.23347, 61.310108|1|12123
|Коралловая улица, 12|55.233506, 61.309299|1|12124
|Коралловая улица, 14|55.233485, 61.308787|1|12125
|Коралловая улица, 16|55.23349, 61.308177|1|12126
|Коралловая улица, 18|55.23348, 61.307368|1|12127
|Коралловая улица, 2|55.234409, 61.310701|1|12128
|Коралловая улица, 4|55.234148, 61.310746|1|12129
|Коралловая улица, 6|55.233834, 61.310755|1|12130
|Коралловая улица, 8|55.23348, 61.310692|1|12131
|Коркинская улица, 1|55.249217, 61.37944|1|12132
|Коркинская улица, 10|55.249484, 61.376763|1|12133
|Коркинская улица, 10-1|55.249504, 61.376476|1|12134
|Коркинская улица, 11|55.249191, 61.375775|1|12135
|Коркинская улица, 12|55.249463, 61.375775|1|12136
|Коркинская улица, 13|55.249232, 61.375137|1|12137
|Коркинская улица, 13А|55.249197, 61.375415|1|12138
|Коркинская улица, 14|55.249469, 61.375371|1|12139
|Коркинская улица, 16|55.249453, 61.374742|1|12140
|Коркинская улица, 3|55.249176, 61.378784|1|12141
|Коркинская улица, 5|55.249232, 61.377841|1|12142
|Коркинская улица, 9|55.249258, 61.3767|1|12143
|Коркинская улица, 9А|55.249181, 61.3767|1|12144
|Коркинская улица, 9Б|55.249202, 61.376386|1|12145
|Коровинская улица, 10|55.127651, 61.408869|1|12146
|Коровинская улица, 11|55.127399, 61.407997|1|12147
|Коровинская улица, 13|55.127471, 61.407584|1|12148
|Коровинская улица, 13А|55.127497, 61.407045|1|12149
|Коровинская улица, 14|55.127713, 61.408375|1|12150
|Коровинская улица, 3|55.127389, 61.4093|1|12151
|Коровинская улица, 6|55.127651, 61.40983|1|12152
|Коровинская улица, 7|55.127471, 61.408635|1|12153
|Коровинская улица, 8|55.127734, 61.409246|1|12154
|Коровинская улица, 9|55.127461, 61.408339|1|12155
|Короткий переулок, 2|55.151384, 61.2835|1|12156
|Короткий переулок, 4|55.151153, 61.283985|1|12157
|Корундовая улица, 3|55.188401, 61.42988|1|12158
|Корундовая улица, 4|55.18837, 61.429449|1|12159
|Корундовая улица, 5|55.188185, 61.429826|1|12160
|Корундовая улица, 6|55.188159, 61.429476|1|12161
|Костромская улица, 1|55.135804, 61.520431|2|12162
|Костромская улица, 10|55.135433, 61.519829|2|12163
|Костромская улица, 100|55.127461, 61.519784|2|12164
|Костромская улица, 101|55.127734, 61.520556|2|12165
|Костромская улица, 102|55.127337, 61.519784|2|12166
|Костромская улица, 103|55.127548, 61.520583|2|12167
|Костромская улица, 105|55.127389, 61.520682|2|12168
|Костромская улица, 106|55.126997, 61.519972|2|12169
|Костромская улица, 106В|55.127183, 61.519559|2|12170
|Костромская улица, 107|55.127121, 61.520718|2|12171
|Костромская улица, 108|55.126874, 61.519972|2|12172
|Костромская улица, 109|55.126807, 61.5207|2|12173
|Костромская улица, 11|55.134826, 61.520368|2|12174
|Костромская улица, 110|55.126699, 61.52017|2|12175
|Костромская улица, 111|55.126493, 61.520781|2|12176
|Костромская улица, 112|55.126478, 61.520107|2|12177
|Костромская улица, 113|55.126328, 61.520817|2|12178
|Костромская улица, 114|55.126308, 61.520143|2|12179
|Костромская улица, 115|55.125989, 61.520826|2|12180
|Костромская улица, 116|55.126148, 61.52017|2|12181
|Костромская улица, 117|55.125808, 61.520871|2|12182
|Костромская улица, 118|55.126004, 61.520197|2|12183
|Костромская улица, 119|55.125572, 61.520943|2|12184
|Костромская улица, 11А|55.13478, 61.520601|2|12185
|Костромская улица, 12|55.13515, 61.519766|2|12186
|Костромская улица, 120|55.125896, 61.520269|2|12187
|Костромская улица, 121|55.125669, 61.521347|2|12188
|Костромская улица, 122|55.125726, 61.520242|2|12189
|Костромская улица, 123|55.125731, 61.521733|2|12190
|Костромская улица, 124|55.125448, 61.520269|2|12191
|Костромская улица, 125|55.125793, 61.521985|2|12192
|Костромская улица, 126|55.125397, 61.519927|2|12193
|Костромская улица, 128|55.125304, 61.519469|2|12194
|Костромская улица, 13|55.134677, 61.520377|2|12195
|Костромская улица, 14|55.135068, 61.519766|2|12196
|Костромская улица, 15|55.134378, 61.520359|2|12197
|Костромская улица, 16|55.134919, 61.519784|2|12198
|Костромская улица, 17|55.134152, 61.520323|2|12199
|Костромская улица, 18|55.134636, 61.51973|2|12200
|Костромская улица, 19|55.134136, 61.520763|2|12201
|Костромская улица, 2|55.136092, 61.519802|2|12202
|Костромская улица, 21|55.134136, 61.521158|2|12203
|Костромская улица, 22|55.134455, 61.519748|2|12204
|Костромская улица, 22А|55.134512, 61.519299|2|12205
|Костромская улица, 23|55.133905, 61.521616|2|12206
|Костромская улица, 24|55.134188, 61.519676|2|12207
|Костромская улица, 25|55.133879, 61.521212|2|12208
|Костромская улица, 26|55.133997, 61.519685|2|12209
|Костромская улица, 3|55.135629, 61.520395|2|12210
|Костромская улица, 30|55.133668, 61.519658|2|12211
|Костромская улица, 30А|55.133452, 61.519613|2|12212
|Костромская улица, 31|55.1339, 61.520547|2|12213
|Костромская улица, 31А|55.1339, 61.520655|2|12214
|Костромская улица, 32|55.133282, 61.51964|2|12215
|Костромская улица, 33|55.133714, 61.520574|2|12216
|Костромская улица, 34|55.133009, 61.519595|2|12217
|Костромская улица, 36|55.132742, 61.519568|2|12218
|Костромская улица, 37|55.133478, 61.520287|2|12219
|Костромская улица, 38|55.132587, 61.519406|2|12220
|Костромская улица, 39|55.133215, 61.520206|2|12221
|Костромская улица, 4|55.135963, 61.519784|2|12222
|Костромская улица, 40|55.132417, 61.519514|2|12223
|Костромская улица, 41|55.133009, 61.520233|2|12224
|Костромская улица, 42|55.132248, 61.519451|2|12225
|Костромская улица, 43|55.132855, 61.520179|2|12226
|Костромская улица, 44|55.132129, 61.519487|2|12227
|Костромская улица, 45|55.132613, 61.520161|2|12228
|Костромская улица, 48|55.131959, 61.519451|2|12229
|Костромская улица, 5|55.135402, 61.520431|2|12230
|Костромская улица, 50|55.131779, 61.519442|2|12231
|Костромская улица, 52|55.131553, 61.519272|2|12232
|Костромская улица, 54|55.131126, 61.519353|2|12233
|Костромская улица, 55|55.132103, 61.520089|2|12234
|Костромская улица, 56|55.130945, 61.519505|2|12235
|Костромская улица, 57|55.13181, 61.51999|2|12236
|Костромская улица, 58|55.130827, 61.519523|2|12237
|Костромская улица, 59|55.131681, 61.51999|2|12238
|Костромская улица, 60|55.130673, 61.519514|2|12239
|Костромская улица, 61|55.131537, 61.519981|2|12240
|Костромская улица, 62|55.130436, 61.519514|2|12241
|Костромская улица, 63|55.131295, 61.519999|2|12242
|Костромская улица, 64|55.130271, 61.51955|2|12243
